id,bmc School,first_name,last_name,age,program,level,gender,dob,doa,udid ,aadhar ,disability,severity,address,contact,status mob no,school,age while refering,standard at non special,casestudy,add nd sub,two words,vocab building,TRADITIONAL AND MODERN GAME,mumbai topo,lemon srbat making ,stamping the design ,baseline consolidate ,endline consolidate ,no. of bl,no. of el
1,1,Herman,Jannaway,17,7,1,Male,11/11/2001,5/5/2011,1,5624678339,3,3,18th Floor,9238336563,4930989450,3,7,5,4,8,FALSE,2,2,9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
2,1,Cornelia,Elwyn,22,10,2,Female,9/1/2001,4/26/2016,2,616288972,1,3,Apt 1569,4578116484,9787634318,8,6,2,3,10,FALSE,2,4,8,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
3,6,Sandra,Menichino,23,7,3,Female,11/11/2010,6/10/2022,3,7686350045,1,5,Suite 77,5981483636,5332681682,10,17,9,10,7,TRUE,7,4,5,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
4,8,Flory,Amori,7,9,1,Male,12/20/2016,9/3/2021,4,1755025610,4,2,Room 1168,6873768200,4628573131,2,28,1,1,6,FALSE,7,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
5,5,Sigfrid,Goard,29,1,3,Male,7/13/2004,1/9/2011,5,8067843996,7,4,Suite 5,432411674,4847201302,9,17,8,3,2,FALSE,5,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
6,8,Sibelle,MacKeogh,22,4,2,Female,8/25/2017,1/31/2013,6,7805483043,3,9,Room 880,6544853925,118847716,10,13,11,1,10,TRUE,5,10,7,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
7,8,Edik,Barock,43,6,2,Male,11/19/2017,10/10/2011,7,3838418476,1,4,Room 1727,8893448327,3904465945,6,11,1,1,10,FALSE,3,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
8,1,Vivia,Wagge,32,1,3,Female,4/6/2010,1/11/2014,8,9552367220,2,7,Apt 763,6077410551,8819360780,2,22,6,2,4,FALSE,9,6,4,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
9,3,Albert,Godbolt,26,9,1,Male,11/17/2014,1/11/2018,9,5123418946,3,3,Apt 912,6120026924,7890229593,5,9,3,10,9,TRUE,3,2,6,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,9,Elaine,Marchelli,27,2,1,Female,4/30/2016,4/26/2007,10,926666649,5,10,Suite 28,8685604990,5082836692,5,3,6,10,6,TRUE,7,1,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
11,9,Harlie,Smitherham,36,5,2,Female,11/30/2004,10/11/2017,11,9596529250,6,7,Suite 61,9326080021,7515538929,4,10,1,2,6,FALSE,4,2,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
12,1,Quinton,Montier,31,3,2,Male,9/19/2002,12/18/2008,12,3622160578,5,10,Suite 48,2593093234,175346100,4,20,5,10,9,TRUE,3,10,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
13,5,Wolfie,Streater,11,9,1,Male,7/1/2007,6/30/2018,13,2282531566,6,2,15th Floor,4398976795,7276560015,3,24,4,10,1,FALSE,9,2,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
14,9,Aurora,Leadley,45,9,1,Female,11/8/2014,6/24/2023,14,9185117935,7,7,PO Box 4203,6721785366,702718556,9,24,7,3,7,TRUE,1,4,9,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
15,8,Giorgia,Dainter,12,3,1,Female,7/12/2006,11/18/2009,15,884491919,1,6,14th Floor,5067353406,8900207504,3,4,12,3,1,FALSE,6,9,4,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
16,4,Saraann,Liccardi,2,1,3,Female,4/12/2006,8/29/2013,16,5507027056,3,9,Suite 9,9565275524,4971992359,7,18,10,6,4,TRUE,6,9,9,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
17,7,Bernelle,Longwood,24,2,3,Female,12/8/2009,12/11/2016,17,4476612598,4,4,Room 166,961413360,2320106030,3,30,5,9,7,FALSE,5,10,9,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
18,9,Barthel,Zuan,50,2,1,Male,7/25/2013,5/30/2020,18,4557505686,4,5,Suite 19,7651374193,4770347227,4,6,9,9,2,TRUE,2,1,8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
19,3,Anastasie,Romanski,11,6,2,Female,6/29/2007,3/1/2016,19,9851189308,7,5,Room 576,8990224837,6550461820,4,11,7,2,10,FALSE,5,9,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20,4,Ollie,Woolaghan,35,3,3,Female,7/28/2017,6/1/2021,20,1766332382,2,8,Suite 39,5340229068,7644483675,2,6,10,6,6,FALSE,3,4,10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
21,7,Judah,Pryce,46,6,1,Male,6/8/2015,6/26/2013,21,6588376839,6,3,Room 1605,597844992,6690225763,7,16,2,5,10,FALSE,3,8,2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
22,7,Forrest,Opie,49,6,2,Male,9/6/2007,5/21/2006,22,7756600355,4,9,PO Box 93547,3612098918,1662630093,8,14,10,8,6,TRUE,10,4,10,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
23,7,Artie,Delves,35,9,1,Male,6/9/2018,2/7/2011,23,5565140447,4,7,Room 1071,5578644163,6416078384,2,16,3,3,4,TRUE,7,5,5,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
24,9,Sasha,Yonge,13,5,2,Male,8/21/2011,12/16/2019,24,2441642332,7,10,PO Box 7892,4971503153,9384224693,8,27,1,2,1,FALSE,1,1,6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
25,8,Giraud,Aggiss,15,7,3,Male,11/16/2016,5/8/2016,25,5524992562,6,9,11th Floor,452261678,4470568856,7,20,11,10,3,TRUE,1,9,9,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
26,8,Dare,Giamo,25,5,2,Male,11/18/2016,10/13/2016,26,6338288487,7,1,Room 1021,4335804008,9938988911,6,9,8,9,8,FALSE,1,5,10,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
27,1,Richmound,Forkan,18,10,2,Male,6/7/2010,5/16/2015,27,6022844134,6,1,Apt 433,9247819768,157016307,2,3,8,1,3,FALSE,3,10,10,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
28,2,Aurelia,Hodgin,27,5,3,Female,2/26/2005,6/24/2008,28,2079298291,3,3,Apt 336,3798530645,9511996002,7,23,3,6,1,FALSE,6,5,7,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
29,2,Neville,Dallyn,24,9,1,Male,7/13/2007,9/3/2015,29,883082098,6,3,Apt 822,9699180897,6726824734,7,3,2,5,1,TRUE,6,2,4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
30,7,Miran,Gatheridge,3,5,2,Female,3/28/2018,4/12/2019,30,3852048079,4,8,Suite 88,4861891957,9435306837,9,17,12,7,8,TRUE,7,10,9,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
31,7,Baron,Collingridge,26,3,1,Male,10/18/2011,7/9/2014,31,7408278664,5,4,20th Floor,3880518777,6214963077,4,14,12,4,1,FALSE,10,10,7,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
32,5,Conroy,Peizer,37,9,3,Male,3/29/2013,5/19/2017,32,1333840195,7,3,7th Floor,6503249861,1253443483,8,19,11,4,2,TRUE,2,5,9,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
33,5,Selestina,Climer,30,6,1,Female,1/25/2008,6/18/2007,33,3154421319,7,10,Room 591,620565691,7912571728,6,17,4,7,5,TRUE,5,7,7,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
34,1,Odo,Tregian,3,2,3,Male,7/18/2007,2/26/2011,34,4170026969,3,10,Room 1311,8856993147,7585757131,3,30,2,6,3,FALSE,6,6,10,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
35,9,Keir,Lambotin,22,10,3,Male,4/24/2016,1/1/2023,35,1309186820,3,9,8th Floor,3961381208,1049982053,1,24,5,3,4,TRUE,4,3,3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
36,5,Pablo,Macknish,13,8,1,Male,8/2/2011,11/26/2017,36,261219820,7,3,Room 1386,3936494746,9785157954,9,5,10,8,8,TRUE,2,3,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
37,2,Ase,Pollicote,20,9,2,Male,12/15/2014,8/28/2005,37,9709724266,7,7,2nd Floor,9723723158,3231660882,8,19,5,9,6,FALSE,10,5,5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
38,1,Tisha,Eymer,21,6,3,Female,10/2/2005,5/3/2010,38,947500111,3,3,10th Floor,6114069781,877940290,2,8,9,6,3,TRUE,3,9,2,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
39,7,Giorgia,Gehrels,16,6,1,Female,4/10/2002,10/31/2012,39,3687750671,7,8,11th Floor,8768318308,5980896368,9,30,1,6,7,TRUE,3,10,5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
40,6,Violetta,Skate,48,6,2,Female,12/29/2011,4/9/2009,40,8032769900,3,4,Suite 6,7332222582,4515165615,6,19,4,8,10,FALSE,7,4,6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
41,7,Rania,Stopp,41,3,1,Bigender,1/22/2005,11/19/2011,41,7131679674,2,5,Room 38,5646538769,5261414695,8,4,4,4,4,FALSE,6,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
42,5,Ax,Sarchwell,19,6,1,Male,11/26/2002,8/25/2018,42,7675384970,1,2,Room 176,967188946,5593290725,2,23,6,6,4,TRUE,10,1,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
43,9,Willyt,Govern,4,10,1,Female,5/30/2002,9/18/2009,43,602512816,5,10,Apt 1630,4110450861,8412993187,9,4,8,9,2,FALSE,3,6,5,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
44,3,Nancee,Pocke,23,9,1,Female,7/9/2008,2/19/2006,44,1375367420,3,7,1st Floor,4320176790,3548695701,5,30,8,4,3,TRUE,2,1,4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
